Module	Section	Sample Name	Source
FastQC	all_sections	SRR1719016_u2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719016_u2_fastqc.zip
FastQC	all_sections	SRR1719017_P1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719017_P1_fastqc.zip
FastQC	all_sections	SRR1719017_P2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719017_P2_fastqc.zip
FastQC	all_sections	SRR1719017_U1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719017_U1_fastqc.zip
FastQC	all_sections	SRR1719017_u2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719017_u2_fastqc.zip
FastQC	all_sections	SRR1719018_P1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719018_P1_fastqc.zip
FastQC	all_sections	SRR1719018_P2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719018_P2_fastqc.zip
FastQC	all_sections	SRR1719018_U1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719018_U1_fastqc.zip
FastQC	all_sections	SRR1719018_u2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719018_u2_fastqc.zip
FastQC	all_sections	SRR1719204_P1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719204_P1_fastqc.zip
FastQC	all_sections	SRR1719204_P2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719204_P2_fastqc.zip
FastQC	all_sections	SRR1719204_U1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719204_U1_fastqc.zip
FastQC	all_sections	SRR1719204_u2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719204_u2_fastqc.zip
FastQC	all_sections	SRR1719206_P1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719206_P1_fastqc.zip
FastQC	all_sections	SRR1719206_P2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719206_P2_fastqc.zip
FastQC	all_sections	SRR1719206_U1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719206_U1_fastqc.zip
FastQC	all_sections	SRR1719206_u2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719206_u2_fastqc.zip
FastQC	all_sections	SRR1719207_P1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719207_P1_fastqc.zip
FastQC	all_sections	SRR1719207_P2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719207_P2_fastqc.zip
FastQC	all_sections	SRR1719207_U1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719207_U1_fastqc.zip
FastQC	all_sections	SRR1719207_u2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719207_u2_fastqc.zip
FastQC	all_sections	SRR1719208_P1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719208_P1_fastqc.zip
FastQC	all_sections	SRR1719208_P2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719208_P2_fastqc.zip
FastQC	all_sections	SRR1719208_U1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719208_U1_fastqc.zip
FastQC	all_sections	SRR1719208_u2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719208_u2_fastqc.zip
FastQC	all_sections	SRR1719209_P1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719209_P1_fastqc.zip
FastQC	all_sections	SRR1719209_P2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719209_P2_fastqc.zip
FastQC	all_sections	SRR1719209_U1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719209_U1_fastqc.zip
FastQC	all_sections	SRR1719209_u2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719209_u2_fastqc.zip
FastQC	all_sections	SRR1719211_P1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719211_P1_fastqc.zip
FastQC	all_sections	SRR1719211_P2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719211_P2_fastqc.zip
FastQC	all_sections	SRR1719211_U1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719211_U1_fastqc.zip
FastQC	all_sections	SRR1719211_u2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719211_u2_fastqc.zip
FastQC	all_sections	SRR1719212_P1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719212_P1_fastqc.zip
FastQC	all_sections	SRR1719212_P2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719212_P2_fastqc.zip
FastQC	all_sections	SRR1719212_U1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719212_U1_fastqc.zip
FastQC	all_sections	SRR1719212_u2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719212_u2_fastqc.zip
FastQC	all_sections	SRR1719213_P1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719213_P1_fastqc.zip
FastQC	all_sections	SRR1719213_U1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719213_U1_fastqc.zip
FastQC	all_sections	SRR1719213_P2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719213_P2_fastqc.zip
FastQC	all_sections	SRR1719213_u2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719213_u2_fastqc.zip
FastQC	all_sections	SRR1719214_P1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719214_P1_fastqc.zip
FastQC	all_sections	SRR1719214_P2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719214_P2_fastqc.zip
FastQC	all_sections	SRR1719214_U1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719214_U1_fastqc.zip
FastQC	all_sections	SRR1719214_u2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719214_u2_fastqc.zip
FastQC	all_sections	SRR1719241_P1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719241_P1_fastqc.zip
FastQC	all_sections	SRR1719241_P2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719241_P2_fastqc.zip
FastQC	all_sections	SRR1719241_U1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719241_U1_fastqc.zip
FastQC	all_sections	SRR1719241_u2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719241_u2_fastqc.zip
FastQC	all_sections	SRR1719242_P1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719242_P1_fastqc.zip
FastQC	all_sections	SRR1719242_P2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719242_P2_fastqc.zip
FastQC	all_sections	SRR1719242_U1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719242_U1_fastqc.zip
FastQC	all_sections	SRR1719242_u2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719242_u2_fastqc.zip
